detected_id,start_idx,end_idx,timestamp,end_timestamp,detected_duration_s,baseline_bar
0,3661,3677,2025-01-01 02:02:02,2025-01-01 02:02:34,32,3.9997923957051107
1,4021,4039,2025-01-01 02:14:02,2025-01-01 02:14:38,36,3.9997923957051107
2,8641,8657,2025-01-01 04:48:02,2025-01-01 04:48:34,32,3.9997923957051107
3,18541,18559,2025-01-01 10:18:02,2025-01-01 10:18:38,36,3.9997923957051107
4,18781,18797,2025-01-01 10:26:02,2025-01-01 10:26:34,32,3.9997923957051107
5,27961,27979,2025-01-01 15:32:02,2025-01-01 15:32:38,36,3.9997923957051107
6,30001,30017,2025-01-01 16:40:02,2025-01-01 16:40:34,32,3.9997923957051107
7,33061,33079,2025-01-01 18:22:02,2025-01-01 18:22:38,36,3.9997923957051107
8,36841,36857,2025-01-01 20:28:02,2025-01-01 20:28:34,32,3.9997923957051107
9,47161,47179,2025-01-02 02:12:02,2025-01-02 02:12:38,36,3.9997923957051107
10,50941,50957,2025-01-02 04:18:02,2025-01-02 04:18:34,32,3.9997923957051107
11,52981,52999,2025-01-02 05:26:02,2025-01-02 05:26:38,36,3.9997923957051107
12,58921,58937,2025-01-02 08:44:02,2025-01-02 08:44:34,32,3.9997923957051107
13,60361,60379,2025-01-02 09:32:02,2025-01-02 09:32:38,36,3.9997923957051107
14,62221,62237,2025-01-02 10:34:02,2025-01-02 10:34:34,32,3.9997923957051107
15,62521,62539,2025-01-02 10:44:02,2025-01-02 10:44:38,36,3.9997923957051107
16,64381,64397,2025-01-02 11:46:02,2025-01-02 11:46:34,32,3.9997923957051107
17,66541,66559,2025-01-02 12:58:02,2025-01-02 12:58:38,36,3.9997923957051107
18,67141,67157,2025-01-02 13:18:02,2025-01-02 13:18:34,32,3.9997923957051107
19,70681,70699,2025-01-02 15:16:02,2025-01-02 15:16:38,36,3.9997923957051107
20,76501,76517,2025-01-02 18:30:02,2025-01-02 18:30:34,32,3.9997923957051107
21,78421,78439,2025-01-02 19:34:02,2025-01-02 19:34:38,36,3.9997923957051107
22,82681,82697,2025-01-02 21:56:02,2025-01-02 21:56:34,32,3.9997923957051107
23,86101,86119,2025-01-02 23:50:02,2025-01-02 23:50:38,36,3.9997923957051107
24,88261,88277,2025-01-03 01:02:02,2025-01-03 01:02:34,32,3.9997923957051107
25,93001,93019,2025-01-03 03:40:02,2025-01-03 03:40:38,36,3.9997923957051107
26,94621,94637,2025-01-03 04:34:02,2025-01-03 04:34:34,32,3.9997923957051107
27,101881,101899,2025-01-03 08:36:02,2025-01-03 08:36:38,36,3.9997923957051107
28,102181,102197,2025-01-03 08:46:02,2025-01-03 08:46:34,32,3.9997923957051107
29,106261,106279,2025-01-03 11:02:02,2025-01-03 11:02:38,36,3.9997923957051107
30,107641,107657,2025-01-03 11:48:02,2025-01-03 11:48:34,32,3.9997923957051107
31,109801,109819,2025-01-03 13:00:02,2025-01-03 13:00:38,36,3.9997923957051107
