process_id,start_idx,end_idx,timestamp,day,detected_type,detected_duration_s,drop_amplitude_bar,high_low_energy_ratio,middle_residual_std_bar,dominant_hz,descent_slope_bar_s,descent_range_bar,descent_turning_points,hold_valley_slope_bar_s,hold_valley_range_bar,hold_valley_turning_points,recovery_slope_bar_s,recovery_range_bar,recovery_turning_points
0,3661,3677,2025-01-01 02:02:02,0,process1,32.0,1.3277337632905946,0.0699655118587519,0.04454128543269643,0.05,-0.12433683704541687,0.994694696363335,0,0.0010751761841860169,0.12814378127629666,3,0.05308084726841322,0.4246467781473058,0
1,4021,4039,2025-01-01 02:14:02,0,process2,36.0,1.077521910324478,0.260283948632324,0.06840916522657464,0.05,-0.07691500747078611,0.6153200597662889,0,0.02884813992239437,0.6586660503411443,1,0.03353719995979798,0.26829759967838385,0
2,8641,8657,2025-01-01 04:48:02,0,process1,32.0,1.3520014605812665,0.10381414098011305,0.05056099678488804,0.05,-0.1241542017196891,0.9932336137575128,0,0.0021415693430741406,0.1971483641083256,3,0.05441778916624157,0.43534231332993256,0
3,18541,18559,2025-01-01 10:18:02,0,process2,36.0,1.1064510678390045,0.07900268816479436,0.06436227040530156,0.05,-0.08209343139902697,0.6567474511922158,0,0.030084279476457927,0.7090119611463424,1,0.0334848922887494,0.2678791383099952,0
4,18781,18797,2025-01-01 10:26:02,0,process1,32.0,1.3324887417310922,0.11221651523671948,0.047057561304788956,0.05,-0.1283865011802376,1.0270920094419007,0,0.002733104173207367,0.15474369737404725,2,0.054611534016391294,0.43689227213113035,0
5,27961,27979,2025-01-01 15:32:02,0,process2,36.0,1.1065497342489428,0.07049617099013841,0.06664098287748346,0.05,-0.08261573657775062,0.660925892622005,0,0.028151636916285378,0.6907453779023673,1,0.030163528041938115,0.24130822433550492,0
6,30001,30017,2025-01-01 16:40:02,0,process1,32.0,1.3543537488148498,0.04628753859085564,0.038415540680517855,0.1,-0.13180305602562842,1.0544244482050273,0,0.0027712692743471954,0.11564160506019228,3,0.04565065043544719,0.36520520348357755,0
7,33061,33079,2025-01-01 18:22:02,0,process2,36.0,1.1065559364330753,0.061790957375234094,0.08221775251487216,0.05,-0.07991324605147004,0.6393059684117604,0,0.03040212122462877,0.6873865863282642,1,0.0272227022905151,0.2177816183241208,0
8,36841,36857,2025-01-01 20:28:02,0,process1,32.0,1.337399989553493,0.10742336322762279,0.0505963148911643,0.1,-0.12342423158327337,0.987393852666187,0,0.0018710388790945417,0.16188187127159992,3,0.0538647430963789,0.4309179447710312,0
9,47161,47179,2025-01-02 02:12:02,1,process2,36.0,1.110931113299714,0.11738479475239963,0.07221441263096394,0.05,-0.0731045948147484,0.5848367585179872,0,0.029167816208638793,0.696554531235857,1,0.030662628673930048,0.24530102939144038,0
10,50941,50957,2025-01-02 04:18:02,1,process1,32.0,1.314222102264723,0.0706557431107503,0.040606346525614505,0.05,-0.1279382297244268,1.0235058377954145,0,0.0038975731951116366,0.1180333773271558,2,0.05351528478283318,0.42812227826266547,0
11,52981,52999,2025-01-02 05:26:02,1,process2,36.0,1.087667541837909,0.09566320808265466,0.06631363199821487,0.05,-0.0737303579354121,0.5898428634832968,0,0.026972282013039434,0.6449071905735213,1,0.03339738033961076,0.2671790427168861,0
12,58921,58937,2025-01-02 08:44:02,1,process1,32.0,1.3111061435675069,0.0322595910447155,0.04222224102971486,0.05,-0.12215616928420919,0.9772493542736735,0,0.0027900698940647294,0.13650514273487158,3,0.04852835423427987,0.38822683387423895,0
13,60361,60379,2025-01-02 09:32:02,1,process2,36.0,1.1012363178929503,0.05927207054325986,0.06740744000476678,0.05,-0.07873803499910254,0.6299042799928203,0,0.028111851494641484,0.6750681664486669,1,0.03364587126302959,0.26916697010423674,0
14,62221,62237,2025-01-02 10:34:02,1,process2,32.0,1.3406920663850999,0.13087999479883322,0.14661368195977806,0.05,-0.13023976356499767,1.0419181085199813,0,0.0031553858372488364,0.17348075235659044,3,0.055463504904719796,0.44370803923775837,0
15,62521,62539,2025-01-02 10:44:02,1,process2,36.0,1.113991481478533,0.06411086390786647,0.07901954233933009,0.05,-0.07236005170460763,0.578880413636861,0,0.028466565667210827,0.6833585705947929,1,0.03131568398039852,0.2505254718431882,0
16,64381,64397,2025-01-02 11:46:02,1,process1,32.0,1.337326478635113,0.028709779394396524,0.052723062790572095,0.05,-0.12433350075032079,0.9946680060025663,0,0.0048009241114679545,0.17393265896355903,3,0.05405397430824577,0.43243179446596614,0
17,66541,66559,2025-01-02 12:58:02,1,process2,36.0,1.0941829231280056,0.12263765982180257,0.07463701066932531,0.05,-0.07845720020280106,0.6276576016224085,0,0.029369436530264876,0.6770109961642854,1,0.026435650708744984,0.21148520566995987,0
18,67141,67157,2025-01-02 13:18:02,1,process1,32.0,1.3182882974449424,0.04237607214679976,0.04404072096234797,0.05,-0.12620175405128808,1.0096140324103047,0,0.0029297951528645485,0.12261200834753261,3,0.05423794513615471,0.43390356108923767,0
19,70681,70699,2025-01-02 15:16:02,1,process2,36.0,1.1155763415969147,0.18158950977816665,0.07102676048785954,0.05,-0.08082390903312758,0.6465912722650207,0,0.030884238009478777,0.7059193707631337,1,0.03317124321982473,0.26536994575859785,0
20,76501,76517,2025-01-02 18:30:02,1,process2,32.0,1.3425104010198012,0.02355150570633141,0.1416287055805123,0.05,-0.12838333747115727,1.0270666997692581,0,0.004215402825343408,0.1532581385361924,3,0.052109833942435624,0.416878671539485,0
21,78421,78439,2025-01-02 19:34:02,1,process2,36.0,1.1024241793966385,0.46034471585127446,0.07258575703747713,0.05,-0.07977116145718993,0.6381692916575195,0,0.028197825635793636,0.6809538977347382,1,0.034537483060445906,0.27629986448356725,0
22,82681,82697,2025-01-02 21:56:02,1,process2,32.0,1.345259222754005,0.10141154729416313,0.14184787449760544,0.05,-0.12412722816687716,0.9930178253350173,0,0.0016837597555504008,0.17762564556643978,5,0.052480106054668074,0.4198408484373446,0
23,86101,86119,2025-01-02 23:50:02,1,process2,36.0,1.1347927657856114,0.07240323357877772,0.07583757404959719,0.05,-0.07678615519424054,0.6142892415539243,0,0.028577965975837814,0.7373411160042393,1,0.031694802796914445,0.25355842237531556,0
24,88261,88277,2025-01-03 01:02:02,2,process1,32.0,1.3355233034275473,0.04535960057900598,0.05161852762082445,0.1,-0.12881629201783978,1.0305303361427183,0,0.002893949767794742,0.15034924387538062,3,0.055528984103052625,0.444231872824421,0
25,93001,93019,2025-01-03 03:40:02,2,process2,36.0,1.0950616778254387,0.14419521135468025,0.07399634478586804,0.05,-0.08079879416818542,0.6463903533454833,0,0.029372433820075743,0.6643339938835613,1,0.031224479347272294,0.24979583477817835,0
26,94621,94637,2025-01-03 04:34:02,2,process1,32.0,1.3220690778407755,0.017262021533143056,0.0494986587568311,0.05,-0.12417941900538726,0.9934353520430981,0,0.0016386579630573255,0.1635552618151035,3,0.05013090700711109,0.40104725605688873,0
27,101881,101899,2025-01-03 08:36:02,2,process2,36.0,1.105393879962337,0.15924842041067572,0.07714443934138472,0.05,-0.07664494458219895,0.6131595566575916,0,0.029273662028765593,0.6758789258262978,1,0.03281363623100175,0.262509089848014,0
28,102181,102197,2025-01-03 08:46:02,2,process1,32.0,1.33404602735934,0.23789740815625549,0.035455097927827806,0.1,-0.1261123739253357,1.0088989914026856,0,0.0018142985902025455,0.10923417395588064,3,0.0563717546763558,0.4509740374108464,0
29,106261,106279,2025-01-03 11:02:02,2,process2,36.0,1.0857534866840295,0.19612747329259392,0.06855039877560898,0.05,-0.07704604935001191,0.6163683948000953,0,0.028263604317548152,0.6692364917082929,1,0.03269329511855518,0.2615463609484414,0
30,107641,107657,2025-01-03 11:48:02,2,process2,32.0,1.3140595429578874,0.04417657116334345,0.14031365199307627,0.05,-0.12358768927612546,0.9887015142090037,0,0.0022135846834809847,0.13260567331806428,3,0.05173468419628008,0.41387747357024063,0
31,109801,109819,2025-01-03 13:00:02,2,process2,36.0,1.125465115167752,0.1257459169358685,0.07597647617096252,0.05,-0.08073618640256858,0.6458894912205486,0,0.02810574244743802,0.69764228187903,1,0.030929920739412198,0.24743936591529758,0
32,115741,115757,2025-01-03 16:18:02,2,process1,32.0,1.326132008272805,0.1039850645425692,0.04059011377077923,0.1,-0.12632245566086708,1.0105796452869367,0,0.00010946646060603114,0.14425049197166295,3,0.05161740733285186,0.4129392586628149,0
33,118321,118339,2025-01-03 17:44:02,2,process2,36.0,1.067331647349488,0.21921284545705136,0.06311267237235255,0.05,-0.07933779544701935,0.6347023635761548,0,0.027782765320690374,0.6449187020425309,1,0.02915882321423441,0.23327058571387527,0
34,118501,118517,2025-01-03 17:50:02,2,process1,32.0,1.362162837499747,0.17004153113213005,0.04244269736010161,0.1,-0.13268378448771218,1.0614702759016974,0,0.002796428721235891,0.12165835331379604,3,0.05098909994029427,0.40791279952235415,0
35,118681,118699,2025-01-03 17:56:02,2,process2,36.0,1.0935378023709381,0.08561395514791383,0.06779238510370897,0.05,-0.07992422881387706,0.6393938305110165,0,0.03140371683707957,0.6728750886945716,1,0.028686770676837614,0.2294941654147009,0
36,119401,119417,2025-01-03 18:20:02,2,process1,32.0,1.3437092362933338,0.04380355321217222,0.047069775774435586,0.05,-0.12910127136544958,1.0328101709235966,0,0.00391089001049178,0.14656251355116767,2,0.054826884391678765,0.4386150751334301,0
37,126121,126139,2025-01-03 22:04:02,2,process2,36.0,1.0804185567135338,0.0689762918645978,0.07380612466425837,0.05,-0.07563876451428186,0.6051101161142549,0,0.02702546740610802,0.6268121661632327,1,0.030855625873731085,0.24684500698984868,0
38,133741,133757,2025-01-04 02:18:02,3,process1,32.0,1.333056489264099,0.11784057672651417,0.0458944761317651,0.1,-0.12718449196642428,1.0174759357313943,0,0.0030976714996960985,0.14657088424864462,3,0.049069808738037846,0.39255846990430276,0
39,136441,136459,2025-01-04 03:48:02,3,process2,36.0,1.1038285095401195,0.27802546403949685,0.07253183862840562,0.05,-0.08015173569257433,0.6412138855405947,0,0.029142547159948365,0.66172555953136,1,0.03521946411509658,0.2817557129207726,0
40,139261,139277,2025-01-04 05:22:02,3,process1,32.0,1.336986955340663,0.08331357040435747,0.05037190693809157,0.1,-0.12865601261291215,1.0292481009032972,0,0.0012489909294921306,0.16796537101328646,3,0.0545791808824907,0.4366334470599256,0
41,143041,143058,2025-01-04 07:28:02,3,process2,34.0,1.099150889124104,0.1961290800760235,0.07718587769896568,0.05,-0.0808935598249218,0.6471484785993744,0,0.028229892480546318,0.6705853777520683,1,0.01915162419101818,0.15321299352814544,0
42,148321,148337,2025-01-04 10:24:02,3,process1,32.0,1.3257569961491154,0.043003406419922216,0.04784326104336535,0.05,-0.12083020764790042,0.9666416611832034,0,0.0011502677457328038,0.1516909873985881,3,0.05491786322322473,0.4393429057857978,0
43,153661,153679,2025-01-04 13:22:02,3,process2,36.0,1.103560108385274,0.08867788988005343,0.06865031391562457,0.05,-0.08252026869317647,0.6601621495454117,0,0.028939770784841484,0.6815525606100388,1,0.030375454460138063,0.2430036356811045,0
44,156661,156677,2025-01-04 15:02:02,3,process1,32.0,1.3342072865292147,0.12050002097635264,0.047261758140131775,0.05,-0.132513419999979,1.060107359999832,0,0.003553621099808958,0.16124439542115576,3,0.056020142188789035,0.4481611375103123,0
45,158161,158179,2025-01-04 15:52:02,3,process2,36.0,1.0931218340707156,0.21750418352960368,0.0720610607316161,0.05,-0.08277249212076404,0.6621799369661123,0,0.0283156376564258,0.6627194256234796,1,0.033045430766345474,0.2643634461307638,0
46,159721,159737,2025-01-04 16:44:02,3,process2,32.0,1.3538418933180916,0.02276475945289697,0.14531643762708488,0.05,-0.12850541493033496,1.0280433194426797,0,0.0033390134186552047,0.17268638943464998,3,0.0520142130138439,0.4161137041107512,0
47,165361,165379,2025-01-04 19:52:02,3,process2,36.0,1.0958419265670543,0.14101560889543688,0.06745789132464027,0.05,-0.08134178464060338,0.650734277124827,0,0.028590302312260132,0.6637384893390594,1,0.037004307683628335,0.2960344614690267,0
48,169801,169817,2025-01-04 22:20:02,3,process1,32.0,1.363314826790842,0.11006065423676782,0.04862696079948696,0.1,-0.13318402473517799,1.0654721978814239,0,0.002229807268688328,0.16346590479516365,3,0.04927231068083582,0.39417848544668654,0
49,173101,173119,2025-01-05 00:10:02,4,process2,36.0,1.1003816337034626,0.32101920604899625,0.06517433739505535,0.05,-0.0793204095874176,0.6345632766993408,0,0.02970108090981384,0.7001863985040586,1,0.0343658775730481,0.2749270205843848,0
50,178681,178697,2025-01-05 03:16:02,4,process2,32.0,1.330325997821502,0.03824232116832623,0.14875009454485302,0.05,-0.1304315443074639,1.0434523544597112,0,0.0043177740219974125,0.17858382762205194,3,0.05153115888595261,0.4122492710876209,0
51,181261,181279,2025-01-05 04:42:02,4,process2,36.0,1.0961704553770306,0.11249485321619647,0.0694362568488155,0.05,-0.07725287482072246,0.6180229985657797,0,0.029477987285006266,0.6760551547284686,1,0.028943141594369226,0.2315451327549538,0
52,184681,184697,2025-01-05 06:36:02,4,process1,32.0,1.328439383121288,0.11425326030587306,0.047283419512506676,0.1,-0.1237775383316132,0.9902203066529056,0,0.004451913346141466,0.1398317268171816,5,0.0482587233181862,0.3860697865454896,0
53,193021,193039,2025-01-05 11:14:02,4,process2,36.0,1.1068562920602387,0.045046355426179255,0.06952364206872022,0.05,-0.07780013864990509,0.6224011091992407,0,0.029340132656732854,0.6896663448168345,1,0.026350985293293383,0.21080788234634706,0
54,196801,196817,2025-01-05 13:20:02,4,process1,32.0,1.3358522808962032,0.11459090160231472,0.050554051261789315,0.1,-0.12433670282112519,0.9946936225690015,0,0.0030302463110567007,0.1550167003289573,3,0.04691220087796283,0.37529760702370263,0
55,201301,201319,2025-01-05 15:50:02,4,process2,36.0,1.0920831026068978,0.16163905111927362,0.07890892889130889,0.05,-0.08155123988743895,0.6524099190995116,0,0.029804163613889784,0.6740364058550243,1,0.02823202643689443,0.22585621149515545,0
56,203101,203117,2025-01-05 16:50:02,4,process1,32.0,1.353840231610345,0.04381195794189686,0.06170394711467565,0.05,-0.12907790686055576,1.032623254884446,0,0.004049412994100986,0.18190291092653954,3,0.047821797364847485,0.3825743789187799,0
57,206221,206239,2025-01-05 18:34:02,4,process2,36.0,1.091259362697107,0.1780521017306565,0.08057482262191647,0.05,-0.08294283661972213,0.663542692957777,0,0.030004303131751914,0.6579129267978328,1,0.029740193877385745,0.23792155101908596,0
58,206461,206477,2025-01-05 18:42:02,4,process1,32.0,1.332901148196676,0.189628827766377,0.04570855445688926,0.05,-0.12889762734379295,1.0311810187503436,0,0.0025304739997163367,0.13022305236843623,3,0.046484935562861485,0.3718794845028919,0
59,206821,206839,2025-01-05 18:54:02,4,process2,36.0,1.070475358916375,0.11697313489021442,0.06815303080785247,0.05,-0.07989607448031594,0.6391685958425275,0,0.026207387424052438,0.6118794826840408,1,0.03235638331613999,0.25885106652911993,0
60,207061,207077,2025-01-05 19:02:02,4,process2,32.0,1.3410861609428828,0.04340522408159173,0.14079633056212637,0.05,-0.12517063456563104,1.0013650765250484,0,0.0007924513684411691,0.17431456029636294,3,0.05300577803404649,0.42404622427237193,0
61,208141,208159,2025-01-05 19:38:02,4,process2,36.0,1.1155022643748684,0.2902323490469807,0.06962957966530564,0.05,-0.07686674732093174,0.6149339785674539,0,0.028409060023957586,0.6994763172968108,1,0.034365769292806936,0.2749261543424555,0
62,215881,215897,2025-01-05 23:56:02,4,process1,32.0,1.316723793903945,0.2899781946199614,0.04219053491435491,0.1,-0.12311563331809461,0.9849250665447569,0,0.002712163326616082,0.12903839603412592,3,0.04792845778588212,0.38342766228705694,0
63,219841,219859,2025-01-06 02:08:02,5,process2,36.0,1.0932534636057727,0.10653124603323273,0.06458524799128751,0.05,-0.08288297263362787,0.663063781069023,0,0.028458523468674723,0.6764719521229181,1,0.03013049538838264,0.2410439631070611,0
64,229081,229097,2025-01-06 07:16:02,5,process1,32.0,1.3434599506163072,0.07552500440909429,0.0462379336955483,0.1,-0.12829024923484084,1.0263219938787267,0,0.002824375506087594,0.14241664136257182,3,0.05333010733927401,0.4266408587141921,0
65,239761,239779,2025-01-06 13:12:02,5,process2,36.0,1.093909161909504,0.2382603027631555,0.0693133583430005,0.05,-0.08082413048618337,0.6465930438894669,0,0.02970752390814006,0.6647581085592495,1,0.03086528265737537,0.24692226125900296,0
66,240061,240077,2025-01-06 13:22:02,5,process2,32.0,1.3235151584973819,0.054109261175621086,0.14025576022069758,0.05,-0.12531126293738343,1.0024901034990674,0,0.003540007664563848,0.12768897649488675,3,0.0514087858060146,0.4112702864481168,0
67,240241,240259,2025-01-06 13:28:02,5,process2,36.0,1.0856940011530813,0.1617469731904357,0.07080185537804581,0.05,-0.07879022705719951,0.6303218164575961,0,0.02818009420718141,0.6658014807981423,1,0.031042011226621258,0.24833608981297006,0
68,240541,240557,2025-01-06 13:38:02,5,process1,32.0,1.32670596947783,0.07823194417969412,0.042042341100278526,0.1,-0.1294182795281471,1.0353462362251769,0,0.0009465835616434178,0.13028013087804524,3,0.04805172318007955,0.3844137854406364,0
69,243181,243199,2025-01-06 15:06:02,5,process2,36.0,1.1034623757399569,0.1948421347675839,0.06623298684991252,0.05,-0.07678804105344306,0.6143043284275445,0,0.02892257434155243,0.6841974897376462,1,0.028573558809402988,0.2285884704752239,0
70,248641,248657,2025-01-06 18:08:02,5,process1,32.0,1.3334575476514594,0.10901898846342264,0.05103747686956655,0.05,-0.12749018519712402,1.0199214815769921,0,0.0036002395580682694,0.17407815560873185,3,0.05097093602153574,0.4077674881722859,0
71,250261,250279,2025-01-06 19:02:02,5,process2,36.0,1.1198362294246964,0.19633974662113624,0.07391206412995609,0.05,-0.07372289927428471,0.5897831941942777,0,0.03157996408773816,0.7319646538268487,1,0.02980066699591577,0.23840533596732616,0
72,260641,260657,2025-01-07 00:48:02,6,process1,32.0,1.335073250959038,0.09467471776849352,0.04586189368253595,0.1,-0.12829812634645715,1.0263850107716572,0,0.000816570548317778,0.15332985196734583,3,0.05155195055524092,0.4124156044419274,0
73,261661,261679,2025-01-07 01:22:02,6,process2,36.0,1.0953873621743266,0.09967680645396514,0.0663699176901775,0.05,-0.07746739105359163,0.619739128428733,0,0.03107135379435544,0.6946912884808638,1,0.03325550058091803,0.26604400464734423,0
74,264601,264617,2025-01-07 03:00:02,6,process1,32.0,1.326231519101312,0.15135617505351598,0.04593666632968207,0.1,-0.12963533832949548,1.0370827066359638,0,0.0023499039820161893,0.1309051252616591,5,0.05524064390568961,0.4419251512455169,0
75,269101,269119,2025-01-07 05:30:02,6,process2,36.0,1.1174543019628933,0.10725011432772637,0.07240233802692797,0.05,-0.0743853682823929,0.5950829462591432,0,0.030919847883817644,0.7251036016519392,1,0.030181558370288297,0.24145246696230638,0
76,271201,271217,2025-01-07 06:40:02,6,process1,32.0,1.3355645832724257,0.11470118896234287,0.04572444996119416,0.1,-0.1254792369879848,1.0038338959038784,0,-0.0002111964205802804,0.15264481456186507,3,0.05400409409743345,0.4320327527794676,0
77,271741,271759,2025-01-07 06:58:02,6,process2,36.0,1.0992039475097695,0.12287960654056858,0.07055857960774281,0.05,-0.07929186093786844,0.6343348875029475,0,0.02786690048821093,0.6632333987844632,1,0.030279843260481387,0.2422387460838511,0
78,277801,277817,2025-01-07 10:20:02,6,process1,32.0,1.3211314682587068,0.18989846866371496,0.04257600978064416,0.1,-0.12349763987596235,0.9879811190076988,0,0.003794356848338238,0.13274745905698593,3,0.05006421473643685,0.4005137178914948,0
79,280921,280939,2025-01-07 12:04:02,6,process2,36.0,1.1010454797111517,0.1867993592187267,0.06593503007990172,0.05,-0.07987177582059529,0.6389742065647623,0,0.031056077220371552,0.7030306323392339,1,0.031093694523337212,0.2487495561866977,0
80,283141,283157,2025-01-07 13:18:02,6,process1,32.0,1.3376510038364149,0.11984978226300226,0.04455940409678076,0.1,-0.12862608705918088,1.029008696473447,0,0.003588358766273478,0.14213037314697452,2,0.050791392414542724,0.4063311393163418,0
81,287581,287599,2025-01-07 15:46:02,6,process2,36.0,1.0923749286548938,0.21839275923636267,0.0653858303690927,0.05,-0.07593339744085842,0.6074671795268674,0,0.027194586974851234,0.6521753662928558,1,0.029821511404989287,0.2385720912399143,0
82,292981,292997,2025-01-07 18:46:02,6,process2,32.0,1.31913550260355,0.04441301836464861,0.1429814394131232,0.05,-0.12055181925725139,0.9644145540580111,0,0.0023172868369850785,0.14998143163444233,3,0.05392818211657224,0.43142545693257794,0
83,294061,294079,2025-01-07 19:22:02,6,process2,36.0,1.1134546559829097,0.13752741606372337,0.0746500642056338,0.05,-0.07803582168649725,0.624286573491978,0,0.028486546553369782,0.6778921878760871,1,0.02802814689985189,0.22422517519881513,0
84,295261,295277,2025-01-07 20:02:02,6,process1,32.0,1.3239777275646794,0.08586685862023134,0.04087351739044098,0.1,-0.12739499451854053,1.0191599561483242,0,0.002405331967351401,0.13376711684055653,3,0.05297026777124375,0.42376214216995,0
85,295621,295639,2025-01-07 20:14:02,6,process2,36.0,1.0893512497432765,0.07846524324903516,0.06825196072643866,0.05,-0.07415452870908923,0.5932362296727138,0,0.031087428045893286,0.7024914425360689,1,0.03161519635478688,0.25292157083829503,0
86,298381,298397,2025-01-07 21:46:02,6,process1,32.0,1.333037514324253,0.12667572623953052,0.05028276327688672,0.1,-0.12861620767344856,1.0289296613875885,0,0.004257661634170147,0.15253601825072494,3,0.04760062353881267,0.38080498831050136,0
87,302221,302239,2025-01-07 23:54:02,6,process2,36.0,1.0973244215317433,0.04499083041474319,0.061391228675830904,0.05,-0.07531501261824958,0.6025201009459966,0,0.02891277322308334,0.6722482526539597,1,0.02784921586101491,0.22279372688811927,0
88,308881,308897,2025-01-08 03:36:02,7,process1,32.0,1.3455009145817662,0.18423258587172175,0.05192757327455719,0.1,-0.12913921920557053,1.0331137536445643,0,0.0026324934248563242,0.1546202319399237,5,0.05482751746738629,0.4386201397390903,0
89,309241,309259,2025-01-08 03:48:02,7,process2,36.0,1.1029482264749944,0.2861780663491374,0.07411075901164786,0.05,-0.07674116136928949,0.6139292909543159,0,0.02871750764745551,0.6777432058559287,1,0.029610811414403415,0.23688649131522732,0
90,309541,309557,2025-01-08 03:58:02,7,process1,32.0,1.3295858881124385,0.08144175664915887,0.040846175291519224,0.05,-0.12881455776808964,1.0305164621447171,0,0.003776506106379227,0.1162362444103886,3,0.05402397768191136,0.4321918214552909,0
91,312661,312679,2025-01-08 05:42:02,7,process2,36.0,1.1092723629628152,0.1749477965512099,0.0739437790413953,0.05,-0.08093197326810286,0.6474557861448229,0,0.029919276040100116,0.6998235631389407,1,0.030429164415920307,0.24343331532736245,0
92,315361,315377,2025-01-08 07:12:02,7,process1,32.0,1.3350826647561846,0.02383335992728421,0.05963485418510337,0.05,-0.12987231792357606,1.0389785433886085,0,0.0027535251495374663,0.17128033618173655,3,0.05105595522752632,0.40844764182021054,0
93,318781,318799,2025-01-08 09:06:02,7,process2,36.0,1.1043092200107778,0.25915018286439867,0.06842124200266403,0.05,-0.07349675765826147,0.5879740612660918,0,0.029190042474381245,0.6795725622216078,1,0.035464233068500994,0.28371386454800795,0
94,321541,321557,2025-01-08 10:38:02,7,process1,32.0,1.3552009106650038,0.12258540530811965,0.05038571085693176,0.1,-0.13410607462193358,1.0728485969754686,0,0.002092239988495454,0.1512048048167176,3,0.05812290879239834,0.46498327033918674,0
95,323581,323599,2025-01-08 11:46:02,7,process2,36.0,1.112598055913487,0.0721053800306703,0.07240552732254893,0.05,-0.08170847347311944,0.6536677877849555,0,0.028887407202092746,0.6851167034595691,1,0.032967222507808924,0.2637377800624714,0
96,323641,323657,2025-01-08 11:48:02,7,process1,32.0,1.3432591521799577,0.12084985365862368,0.05069398520337399,0.1,-0.12428135637486815,0.9942508509989452,0,0.0011766115112185923,0.16250062891803552,3,0.05437472971416246,0.4349978377132997,0
97,323701,323719,2025-01-08 11:50:02,7,process2,36.0,1.1000533504135444,0.4007242377740253,0.0633142407561393,0.05,-0.07848178068241668,0.6278542454593334,0,0.0308463146485825,0.7239120631558782,1,0.032185956973292906,0.25748765578634325,0
98,331921,331937,2025-01-08 16:24:02,7,process1,32.0,1.3566853165476118,0.16128094818434185,0.05102758244331652,0.1,-0.12484734438161965,0.9987787550529572,0,-0.00015370328333904246,0.1606812823755659,3,0.05786926779716217,0.4629541423772974,0
99,332161,332179,2025-01-08 16:32:02,7,process2,36.0,1.089801156904545,0.05113158946660246,0.06818847280530564,0.05,-0.07087424055797331,0.5669939244637865,0,0.030748288343116516,0.6823258243718926,1,0.0327353636626711,0.2618829093013688,0
100,340621,340637,2025-01-08 21:14:02,7,process2,32.0,1.3559198107485457,0.6628405955352911,0.10495242952864628,0.05,-0.11930767075657267,0.9544613660525814,0,-0.00403892066167207,0.1525806968787773,4,0.05608936601874065,0.4487149281499252,0
101,342361,342379,2025-01-08 22:12:02,7,process2,36.0,1.1027288600796865,0.09985382225552182,0.07420152783462255,0.05,-0.07555993000891903,0.6044794400713522,0,0.026137793788321644,0.6358962777452382,1,0.034112291606833545,0.27289833285466836,0
102,349021,349037,2025-01-09 01:54:02,8,process1,32.0,1.3638776128927486,0.0375710816438788,0.04475188754838983,0.05,-0.12283488114712915,0.9826790491770332,0,-0.004088820135662832,0.14632232968229753,4,0.051874897232982664,0.4149991778638613,0
103,356761,356779,2025-01-09 06:12:02,8,process2,36.0,1.0560150775066424,0.20084059496154275,0.0645708316115443,0.05,-0.07524766021961576,0.6019812817569261,0,0.025068291225237474,0.6268689773953762,1,0.028913650014771253,0.23130920011817002,0
